ID,Location,T,Tmax,Tmin,H,RF,V,SD,AQI,CO,NO2,O3,PM2.5,PM10,SO2,PU,PU#1,PU#2,PU#3,FC,FC#1,FC#2,FC#3,AC,AC#1,AC#2,AC#3,EP,EP#1,EP#2,EP#3
1,Qindao,17.33333,21.65,12.88333,69.03333,463.77,11.53333,1075.7,68.0507563,0.699667349,33.11432261,54.10961676,34.58843302,75.11920374,8.657962091,0.386839836,0.373417722,0.342657343,0.444444444,0.371149723,0.409722222,0.322891566,0.380835381,0.256838142,0.223542117,0.274921301,0.27205101,0.271979723,0.278584392,0.268656716,0.268698061
2,Zhanjiang,24.76667,28.35,22.23333,85.6,1289.31,9.53333,1033.3,48.33523412,0.633155917,13.65941579,70.04185274,25.84084478,38.15167228,9.450418638,0.619998353,0.639240506,0.566433566,0.654320988,0.552308524,0.569444444,0.54939759,0.538083538,0.273485911,0.252699784,0.311647429,0.256110521,0.286031921,0.294010889,0.263992537,0.300092336
3,Guangzhou,24.9,28.83333,20.1,68.96667,868.85,9.88333,1062.5,53.25637634,0.809797569,42.74741691,48.54121079,31.63154838,50.17866178,7.503122364,0.458751021,0.462025316,0.426573427,0.487654321,0.40845828,0.4375,0.41686747,0.371007371,0.298002796,0.3174946,0.291710388,0.284803401,0.459713029,0.493647913,0.453358209,0.432132964
4,Qionghai,25.7,29.45,23.05,85.25,1248.88,8.68333,854,36.25421791,0.610968886,11.57177001,55.40682187,15.99720343,31.12686393,4.417996667,0.593992141,0.64556962,0.531468531,0.604938272,0.473644121,0.488425926,0.43373494,0.498771499,0.415144823,0.456803456,0.40818468,0.380446334,0.459605242,0.471869328,0.474813433,0.432132964
5,Beijing,15.03333,20.85,8.96667,55.91667,551.7,9.58333,1178.4,75.77494723,0.815680525,39.36087526,50.68225125,44.49912539,68.68379282,5.002914853,0.555991594,0.594936709,0.517482517,0.555555556,0.114286923,0.157407407,0.065060241,0.12039312,0.278672075,0.271058315,0.281217209,0.283740701,0.463012532,0.490018149,0.421641791,0.477377655
6,Mohe,0.21667,7.73333,-7.7,70.68333,985.51,6.31667,904.3,36.49418896,0.396199317,11.53568646,43.0886819,16.54088352,34.09627634,14.36018747,0.339529122,0.373417722,0.237762238,0.407407407,0.203882712,0.224537037,0.180722892,0.206388206,0.319013967,0.304535637,0.332633788,0.319872476,0.203963774,0.270417423,0.16511194,0.176361958
7,Shenyang,11.98333,17.43333,5.48333,62.68333,371.07,7.08333,1131.4,65.74040702,0.978002441,37.35504252,42.61829098,38.00721271,67.82865674,21.90659955,0.404602664,0.398734177,0.370629371,0.444444444,0.332611582,0.388888889,0.269879518,0.339066339,0.300545945,0.267818575,0.298006296,0.335812965,0.352119034,0.354809437,0.343283582,0.358264081
8,Korla,11.98333,18.98333,4.43333,49.01667,47.24,8.48333,1581.9,96.10389601,0.640321201,19.46088092,62.46824576,40.48839025,129.8734019,5.788765003,0.429150133,0.398734177,0.41958042,0.469135802,0.239597826,0.3125,0.204819277,0.201474201,0.357332002,0.39524838,0.348373557,0.32837407,0.449554919,0.390199637,0.456156716,0.502308403
9,Turpan,18.11667,22.75,12.9,26.95,15.76,8.13333,1546.4,133.756505,1.518664815,35.01817759,36.06445848,58.97302488,185.9551358,10.24788525,0.516923354,0.481012658,0.48951049,0.580246914,0.44252209,0.488425926,0.43373494,0.405405405,0.336853138,0.32937365,0.333683106,0.347502657,0.485441282,0.475499093,0.475746269,0.505078486
10,Xishuangbanna,23.9,29.45,20.15,78.68333,965.71,4.4,768.8,36.4695458,0.604205186,16.3214514,26.72283394,16.10944937,35.96911705,5.540354394,0.506804494,0.46835443,0.496503497,0.555555556,0.520556916,0.571759259,0.513253012,0.476658477,0.446943936,0.392008639,0.513116474,0.435706695,0.662045891,0.719600726,0.605410448,0.6611265
11,Wuhan,20.56667,24.7,16.5,70.01667,165.63,9.55,904.7,77.6154332,1.004976372,41.61704584,54.28996445,49.61620264,69.61092328,8.063981201,0.431142723,0.424050633,0.412587413,0.456790123,0.198523679,0.296296296,0.14939759,0.14987715,0.300158607,0.277537797,0.317943337,0.304994687,0.33849328,0.353901996,0.317164179,0.344413666
12,Wanning,25.9,32.1,19.8,84,1528.1,7.92,827.9,34.9441946,0.574292869,10.50594568,57.19386447,13.85568815,27.55691586,3.881201867,0.492375885,0.481012658,0.440559441,0.555555556,0.43603859,0.386574074,0.491566265,0.42997543,0.297091614,0.289416847,0.304302204,0.297555792,0.48728244,0.48185118,0.485074627,0.494921514
13,Lhasa,10.31667,16.8,4.31667,40.35,559.31,6.71667,4805.9,42.27945031,0.47756299,21.18190904,63.48061654,13.04469098,35.11093465,5.796764885,0.573258824,0.544303797,0.601398601,0.574074074,0.706189696,0.726851852,0.696385542,0.695331695,0.481584596,0.479481641,0.473242392,0.492029756,0.590754675,0.684210526,0.578358209,0.509695291
14,Jiangjin,20.51667,23.93333,17.38333,76.45,678.16,8.06667,564.4,65.12269619,0.865298398,39.05093359,39.96744241,40.69984794,62.83918428,7.757036529,0.424201807,0.430379747,0.391608392,0.450617284,0.29662804,0.303240741,0.279518072,0.307125307,0.387889854,0.440604752,0.383001049,0.340063762,0.34037702,0.350272232,0.321828358,0.349030471
