Z1,Z2,Z3,Z4
-193.49898906533994,-260.4936279049516,-13.67622646849572,-3.222052983379762
-347.9133314044596,552.3814621102249,22.770277773625722,-12.024550042514164
-261.7618465718688,139.57582964817763,-2.941360497745638,-14.974789740943544
-520.1153718006183,489.64623338999166,5.269691539104539,-2.941448537891587
-103.58539799136416,-160.5805999962103,-3.362207063958007,-5.800043928537211
-434.18651575791785,235.81432407483226,-18.630626677930465,37.502119861117194
-125.69517646585768,-344.1360798448637,-29.410753244202063,6.985117537820888
365.020269386843,-608.4200391939107,15.102807095420252,9.817935626273881
334.36483805333796,-652.0014107126462,82.28608448195575,3.9820060723434203
-566.0706131275466,198.19816979303755,-17.823016458867617,9.102356629958965
-322.47985502853595,-578.048479447413,-42.27368667572673,-17.156268428528676
-583.8789294156293,761.6600506169402,28.034941194326727,-1.9988429542051622
3489.1527791563162,344.00906762857244,-15.112597285912182,-1.640637108746104
-729.3518599673587,-117.6049001617805,-10.233327711594537,-7.630902002768018
