id,PredValue,TrueValue,APE_test,MAE_test,MSE_test,RMSE_test,MAE_train,MSE_train,RMSE_train,R2_train
1,0.443351598,0.386839836,0.14608568389528534,0.05651176200000002,0.0031935792443446463,0.05651176200000002,0.10784396883696769,0.022281059622937267,0.14926841468621976,0.7234123249450188
2,0.502611677,0.619998353,0.18933385134331152,0.11738667599999997,0.013779631702328968,0.11738667599999997,0.1141770526747672,0.017805758698152034,0.1334382205297719,0.743920007130484
3,0.4952264903,0.45875102100000004,0.07951038282266831,0.03647546929999995,0.001330459860655239,0.03647546929999995,0.1338219621235111,0.02473634433453148,0.1572779206835196,0.7232076106270793
4,0.5268233743999999,0.593992141,0.11308022777358605,0.06716876660000004,0.004511643206565281,0.06716876660000004,0.10331912215519116,0.016894440554501757,0.129978615758523,0.7789699854588809
5,0.41448822280000003,0.555991594,0.2545063139929413,0.14150337119999995,0.020023204060964975,0.14150337119999995,0.09102032265350345,0.016144483521399793,0.1270609441228885,0.8077130760479407
6,0.5574691883999999,0.339529122,0.6418891702609236,0.2179400663999999,0.04749787254243637,0.2179400663999999,0.10236644060582557,0.01603296412877864,0.12662134152179338,0.7670311619605061
7,0.43743815950000003,0.404602664,0.08115491671602051,0.032835495500000034,0.0010781697647305225,0.032835495500000034,0.11344993912938485,0.017896742184861942,0.1337787060217804,0.7862979708438742
8,0.5357204524,0.429150133,0.24832875771239712,0.1065703194,0.011357232977018017,0.1065703194,0.10769989580014269,0.017467300420118924,0.13216391496970314,0.7993646771924818
9,0.45340898609999997,0.516923354,0.12286999108962687,0.06351436790000003,0.004034074929736555,0.06351436790000003,0.11126578164784363,0.01660084583556331,0.12884426970402413,0.8124755849791427
10,0.38781026730000007,0.5068044939999999,0.23479315615539884,0.11899422669999987,0.014159625987930963,0.11899422669999987,0.12173610752167836,0.03211686085981698,0.17921177656565146,0.6398840136083108
11,0.4306572157,0.43114272299999995,0.0011260941542088037,0.00048550729999996545,2.3571733835325644e-07,0.00048550729999996545,0.11002684752747299,0.01965441917813351,0.14019421948901284,0.7747944301661905
12,0.5936025293999999,0.492375885,0.20558814410661053,0.1012266443999999,0.010246833536484031,0.1012266443999999,0.09479713524467474,0.01606948667380188,0.12676547903038066,0.8209541277481669
13,0.4316275743,0.573258824,0.2470633573710153,0.14163124969999996,0.02005941089158374,0.14163124969999996,0.11768562605165601,0.018273299025306552,0.13517876691739183,0.7741749163352333
14,0.5126076844999999,0.42420180700000004,0.2084052355297956,0.0884058774999999,0.007815599176544988,0.0884058774999999,0.12784733954539307,0.03045462969252781,0.17451254881104628,0.6478993267581589
